match,home_team,away_team,market_name,player_name,over_price,prop_id
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Danny Levi,34,65889
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Erin Clark,34,65906
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Eddie Ieremia-Toeava,34,65913
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Isaah Yeo,34,66681
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Isaiah Papalii,34,66683
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Luron Patea,34,66685
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Braden Hamlin-Uele,34,66706
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Thomas Hazelton,34,66707
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Jayden Berrell,34,66711
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Corey Horsburgh,41,65879
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Joseph Tapine,41,65881
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Morgan Smithies,41,65884
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Ethan Sanders,41,65891
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,James Fisher-Harris,41,65901
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Mitchell Barnett,41,65903
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Samuel Healey,41,65911
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Moses Leota,41,66676
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Mitch Kenny,41,66677
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Lindsay Smith,41,66678
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Tuku Hau Tapuha,41,66708
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Josh Papalii,51,65887
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Ata Mariota,51,65888
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Bunty Afoa,51,65914
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Matthew Eisenhuth,51,66684
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Blayke Brailey,51,66699
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Oregon Kaufusi,51,66700
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Cameron McInnes,51,66703
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Trey Mooney,67,65890
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,No Tryscorer,151,65916
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,No Tryscorer,151,66713
