match,home_team,away_team,market_name,player_name,line,over_price,prop_id
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Oregon Kaufusi,0.5,8,67249
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Cameron McInnes,0.5,8,67252
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Bunty Afoa,0.5,9,66351
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Kaeo Weekes,1.5,9,66429
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Ali Leiataua,1.5,9,66453
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Daine Laurie,1.5,9,67351
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Matthew Eisenhuth,0.5,10,67233
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Trey Mooney,0.5,11,66327
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Chevy Stewart,1.5,11,66449
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Te Maire Martin,1.5,11,66469
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Nathan Cleary,1.5,11,67344
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Izack Tago,1.5,13,67340
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Luke Garner,1.5,13,67341
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Blaize Talagi,1.5,13,67359
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Adam Pompey,1.5,15,66454
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Luke Metcalf,1.5,15,66457
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Kurt Capewell,1.5,15,66461
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Brad Schneider,1.5,15,67355
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Briton Nikora,1.5,15,67370
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Matthew Timoko,1.5,17,66431
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Sebastian Kris,1.5,17,66432
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Hudson Young,1.5,17,66439
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Dylan Walker,1.5,17,66464
